Plant,Material Description, Price per case 
AG,CRATE: SCRAP 1L RB Plastic Brown,8.144166666666667
AF,CRATE: SCRAP 1L RB Plastic Brown,8.144166666666667
AC,CRATE: SCRAP 1L RB Plastic Brown,8.144166666666667
AE,CRATE: SCRAP 1L RB Plastic Brown,8.144166666666667
AB,CRATE: SCRAP 1L RB Plastic Brown,8.144166666666667
AG,Cullet 910 ml bottles,21.760833333333334
AA,Keg: 20L Leffe Blond Import Empty,263.2608333333334
AG,Keg: 20L Leffe Blond Import Empty,263.2608333333334
AC,Keg: 20L Leffe Blond Import Empty,263.2608333333334
AE,Keg: 20L Leffe Blond Import Empty,263.2608333333334
AA,Keg: 20L Hoegaarden White Import Empty,263.2608333333334
AG,Keg: 20L Hoegaarden White Import Empty,263.2608333333334
AC,Keg: 20L Hoegaarden White Import Empty,263.2608333333334
AE,Keg: 20L Hoegaarden White Import Empty,263.2608333333334
AG,XXX Bottle: 660NRB Budweiser,8.8775
AG,B&CR: 660NRB Budweiser & Black Crate,16.91916666666667
AG,B&CR: CLT 660ml NRB BIG,29.6525
AG,B&CR: 910RB Green & 910ML Red Crate,16.035833333333336
