Year,Period,Plant,Material Number,Target Value in LC,Target Quantity
2022,7,,CHEMICAL_NO MODIFIER:PERAFOAM 1C226072,0.0,0.0
2022,7,,CHEMICAL_NO MODIFIER:SUPER FOAM 10091900,0.0,0.0
2022,7,,"EARPLUG,E-A-RSOFT SUPERFIT",0.0,0.0
2022,7,,"GLOVES:9, Gloves Skinny Deep 4841",0.0,0.0
2022,7,,"GLOVES:Size 8, Gloves Skinny Deep 4841",0.0,0.0
2022,7,,JACKET CONTI NAVY LIME REFLEC TAPE S32,0.0,0.0
2022,7,,LOCKOUT PADLOCK STD BLUE,0.0,0.0
2022,7,,SISI JENNIFER LADIES SHOE KMS BLK 7,0.0,0.0
2022,7,,"SOLVENT:Floor Gine,25L PLASTIC DRUM",0.0,0.0
2022,7,,SPECTACLES SAFETY,0.0,0.0
2022,7,,TROUSERS CONTI NAVY LIME REFLEC TAPE S28,0.0,0.0
2022,7,,VEST_NO MODIFIER:REFLECTOR YELLOW XL,0.0,0.0
2022,7,AD,,0.0,0.0
2022,7,AD,Bottle: 660RB Flint Diva,2220.9363636363637,142.1748484848485
2022,7,AD,Bottle: 660RB Flint Diva,998826.1727272727,63260.0
2022,7,AD,Bottle: 660RB Flint Bella,348.3272727272727,23.56818181818182
2022,7,AD,Bottle: 660RB Flint Bella,188247.10909090907,11920.0
2022,7,AD,Bottle: 660RB Green Fish,2548.0499999999997,162.83515151515152
2022,7,AD,Bottle: 660RB Green Fish,1377040.6636363636,87186.06060606061
2022,7,AD,Bottle: 660RB Green Lite,0.0,0.0
2022,7,AD,Bottle: 660RB Green Lite,0.0,0.0
2022,7,AD,Bottle: 750RB Amber Calabash,776.6363636363635,56.18848484848485
2022,7,AD,Bottle: 750RB Amber Calabash,419870.47727272724,29560.606060606064
2022,7,AD,Crate: Blue Quart,915669.409090909,63260.0
2022,7,AD,Crate: Blue Quart,2266.5818181818177,158.10121212121214
2022,7,AD,Crate: Brown Quart,427869.16818181815,29560.606060606064
2022,7,AD,Crate: Brown Quart,941.3954545454545,66.55121212121213
2022,7,AD,Crate: Grey Quart,172520.60454545455,11920.0
2022,7,AD,Crate: Grey Quart,427.2954545454545,31.03484848484849
2022,7,AD,Crate: Navy Quart,1262000.218181818,87186.06060606061
2022,7,AD,Crate: Navy Quart,1009.4727272727273,71.25424242424243
2022,7,AD,Crate: Red Quart,0.0,0.0
2022,7,AD,Crate: Red Quart,0.0,0.0
2022,7,AD,Keg: 30L Empty,0.0,0.0
2022,7,AD,Keg: 30L Empty,0.0,0.0
2022,7,AD,Keg: 50L Empty,0.0,0.0
2022,7,AD,Keg: 50L Empty,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,COAL Grade A,0.0,0.0
2022,7,,Diesel,0.0,0.0
2022,7,,Diesel,0.0,0.0
2022,7,,Solar Electricity,0.0,0.0
2022,7,,Utilities : Effluent Treatment,0.0,0.0
2022,7,,Utilities : Electricity KWH,0.0,0.0
2022,7,,Utilities : Water (Generic),0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,238245.70909090908,110576.89212121213
2022,7,,,0.0,0.0
2022,7,,,95546.00454545453,3019.888484848485
2022,7,,,137789.5318181818,72164.92363636364
2022,7,,,613109.6863636363,236267.29
2022,7,,,52706.04545454545,33307.70363636364
2022,7,,,763515.2272727272,113797.6590909091
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,BOVA BREMEN SHOE SM BLK   10,0.0,0.0
2022,7,,Ansell 11-840 gloves SIZE 11,0.0,0.0
2022,7,,CAP_NO MODIFIER:UVEX BUMP CAP,0.0,0.0
2022,7,,CARERING COVER LIME GREEN XL,0.0,0.0
2022,7,,"CARTRIDGE_NO MODIFIER:FILTER, 6738856",0.0,0.0
2022,7,,CHEMICAL_NO MODIFIER:ACIFOAM 100918996,0.0,0.0
2022,7,,CHEMICAL_NO MODIFIER:HYPOFOAM 1A705072,0.0,0.0
2022,7,,CHEMICAL_NO MODIFIER:SUPER FOAM 10091900,0.0,0.0
2022,7,,"CLEANER:DEGREASER,LIQUID,1L PAIL",0.0,0.0
2022,7,,"COMPOUND,CAULK:SEALANT,ALCOLIN SILICON,C",0.0,0.0
2022,7,,"CONTAINER:QUARTY MATCHED CELL,10MM SQ,45",0.0,0.0
2022,7,,Dextrose Bulk,0.0,0.0
2022,7,,"FILTER_ELEMENT:HIGH FLOW TRAP FILTER, 40",0.0,0.0
2022,7,,FILTER_NO MODIFIER:HF60PP005A01,0.0,0.0
2022,7,,"GLOVES:WORK,LARGE,270MM,70MM,WOOL/RUBBER",0.0,0.0
2022,7,,JACKET CONTI NAVY LIME REFLEC TAPE S40,0.0,0.0
2022,7,,Maize White Milled,0.0,0.0
2022,7,,Malt Black (Batch Managed),0.0,0.0
2022,7,,Malt MFM (Batch Managed),0.0,0.0
2022,7,,Maltose Bulk,0.0,0.0
2022,7,,"PAPER,FILTER:320MM DIA,0.5MM THK",0.0,0.0
2022,7,,SISI JENNIFER LADIES SHOE KMS BLK 5,0.0,0.0
2022,7,,SISI JENNIFER LADIES SHOE KMS BLK 6,0.0,0.0
2022,7,,SISI JENNIFER LADIES SHOE KMS BLK 7,0.0,0.0
2022,7,,"SOLUTION:BUFFER,PH4,PLASTIC BOTTLE",0.0,0.0
2022,7,,"SOLUTION:BUFFER,PH7,PLASTIC BOTTLE",0.0,0.0
2022,7,,"SOLVENT:Floor Gine,25L PLASTIC DRUM",0.0,0.0
2022,7,,SPECTACLES SAFETY,0.0,0.0
2022,7,,"THERMOMETER:TEMP,0-100 DEG C,1 DEG,6MM D",0.0,0.0
2022,7,,"TOWEL:DISPOSABLE,280MM WD,1000M LG,PAPER",0.0,0.0
2022,7,,TROUSERS CONTI NAVY LIME REFLEC TAPE S32,0.0,0.0
2022,7,,VEST_NO MODIFIER:REFLECTOR YELLOW XL,0.0,0.0
2022,7,,"WRENCH,SPANNER:ADJ ""C"",90-155MM,300MM LG",0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,"ABRASIVE,ROLL:UTILITY,25MM WD,50M LG,EME",0.0,0.0
2022,7,,"ADHESIVE:SUPER GLUE,3G BOTTLE",0.0,0.0
2022,7,,JACKET CONTI NAVY LIME REFLEC TAPE S40,0.0,0.0
2022,7,,JACKET CONTI NAVY LIME REFLEC TAPE S42,0.0,0.0
2022,7,,"LUBRICANT:CORROSION RETARDANT,LIQUID,500",0.0,0.0
2022,7,,"LUBRICANT:SILICON,LIQUID,500G AEROSOL CA",0.0,0.0
2022,7,,TROUSERS CONTI NAVY LIME REFLEC TAPE S40,0.0,0.0
2022,7,,VEST_NO MODIFIER:REFLECTOR YELLOW XL,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,MAKE UP-1710 - 0104V720D,0.0,0.0
2022,7,,"TIE,CABLE:SELF LOCK,25MM,2.5MM,104MM LG,",0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,Ansell 11-840 gloves SIZE 10,0.0,0.0
2022,7,,BOOK WORK PERMIT,0.0,0.0
2022,7,,CAP_NO MODIFIER:UVEX BUMP CAP,0.0,0.0
2022,7,,COAL Grade A,0.0,0.0
2022,7,,"COMPOUND,CAULK:SEALANT,ALCOLIN SILICON,C",0.0,0.0
2022,7,,"GASKET:JOINT,62MM ID,72MM OD,5.5MM THK,",0.0,0.0
2022,7,,"GASKET:PREFORMED,54MM ID,64MM OD,5MM THK",0.0,0.0
